,Name,Longitude,Latitude,Elevation
0,Absdorf,15.9766666666667,48.4016666666667,182.0
660,Ach_Burghausen,12.8463888888889,48.1488888888889,473.0
1080,Admont,14.4572222222222,47.5677777777778,700.0
1740,Afritz,13.7955555555556,46.7275,715.0
2412,Alberschwende,9.84916666666667,47.4583333333333,717.0
2928,Alland_Groisbach,16.0552777777778,48.0447222222222,387.0
3168,Almsee_Fischerau,13.9508333333333,47.8238888888889,574.0
3828,Alpl,15.6661111111111,47.4947222222222,1020.0
4260,Altach,9.65472222222222,47.3591666666667,412.0
4692,Altenburg,15.5963888888889,48.6491666666667,393.0
5220,Altheim,13.2266666666667,48.25,358.0
5868,Altmanns,15.1066666666667,48.8713888888889,590.0
6504,Altmunster,13.76,47.8744444444445,517.0
6828,Am_Nachtsollberg,12.2261111111111,47.4280555555556,995.0
7284,Amerlugen_Saminaweg_,9.61222222222222,47.2083333333333,760.0
7692,Andau,17.0252777777778,47.7755555555556,119.0
8112,Andelsbuch,9.8775,47.4038888888889,600.0
8772,Annaberg_115568,15.3680555555556,47.8758333333333,924.0
9120,Annaberg_126029,13.4230555555556,47.5375,700.0
9396,Anras,12.5711111111111,46.7769444444445,1300.0
10008,Apetlon,16.8422222222222,47.7425,118.0
10668,Arnoldstein,13.7116666666667,46.55,580.0
11340,Aschach_an_der_Donau,14.0030555555556,48.3761111111111,292.0
11988,Aschau,12.3080555555556,47.3833333333333,1005.0
12540,Attersee,13.5363888888889,47.9183333333333,495.0
13200,Au_Argenau,9.97722222222222,47.3230555555556,800.0
13860,Axams,11.2755555555556,47.2305555555556,890.0
14352,Baad,10.1330555555556,47.3155555555556,1305.0
14736,Babniak,14.2713888888889,46.535,440.0
15408,Bad_Deutsch_Altenburg,16.9011111111111,48.1288888888889,173.0
16068,Bad_Goisern,13.6130555555556,47.6516666666667,505.0
16728,Bad_Leonfelden,14.3,48.5177777777778,725.0
17256,Bad_Schonau,16.2305555555556,47.4952777777778,474.0
17616,Bad_Waltersdorf,16.0125,47.1669444444444,285.0
18276,Barental,14.1558333333333,46.4688888888889,1000.0
18948,Barnbach,15.1341666666667,47.0705555555556,420.0
19584,Barnkopf,15.005,48.3897222222222,962.0
20244,Behamberg,14.4958333333333,48.0355555555556,495.0
20904,Berwang,10.7511111111111,47.4077777777778,1295.0
21564,Bildstein,9.77416666666667,47.4663888888889,720.0
22224,Birkfeld_Schule_,15.6916666666667,47.3519444444445,680.0
22572,Birnberg,13.7297222222222,47.4125,820.0
22956,Bizau,9.93944444444444,47.3672222222222,705.0
23616,Bleistatter_Moor,14.0463888888889,46.6983333333333,510.0
24288,Blons,9.85638888888889,47.2236111111111,772.0
24948,Bockstein,13.1158333333333,47.0872222222222,1140.0
25608,Bodele,9.80861111111111,47.4211111111111,1150.0
26268,Boden,10.6055555555556,47.2847222222222,1355.0
26928,Bodental,14.2152777777778,46.4688888888889,1058.0
27600,Bodinggraben,14.3927777777778,47.7908333333333,640.0
28008,Bonisdorf,16.0636111111111,46.8497222222222,376.0
28668,Bosruckhutte,14.3672222222222,47.6397222222222,1036.0
29076,Bramberg,12.3211111111111,47.2630555555556,844.0
29208,Brand,9.74555555555555,47.1077777777778,1005.0
29868,Brand_Laaben,15.8819444444444,48.1038888888889,317.0
30528,Brandenberg,11.8955555555556,47.4902777777778,920.0
31188,Braunau_am_Inn,13.0766666666667,48.2538888888889,360.0
31836,Bregenz_Altreuteweg_,9.75666666666667,47.5072222222222,447.0
32496,Breitenau,14.3569444444444,47.8463888888889,514.0
33024,Breitenau_bei_Mixnitz,15.44,47.3911111111111,560.0
33684,Breitenbach,15.0644444444444,47.1394444444444,880.0
34068,Breitenfeld,15.3863888888889,48.7483333333333,568.0
34716,Breitenstein,15.8177777777778,47.6577777777778,722.0
35124,Bromberg_103341,12.2261111111111,47.4866666666667,1180.0
35592,Bromberg_109983,16.205,47.6633333333333,419.0
